N,AVL Add,BST Add,AVL Add Rotations,AVL Add Height,BST Add Height,AVL Search,BST Search,AVL Save,BST Save,AVL Remove,BST Remove,AVL Remove Rotations
390000.000000,0.615630,0.581748,308363.000000,22.000000,93.000000,0.531352,0.648899,0.073453,0.075417,0.925774,0.937564,95461.000000
395000.000000,0.622214,0.506668,312403.000000,23.000000,94.000000,0.526074,0.712594,0.074502,0.080389,0.881936,0.940594,96721.000000
400000.000000,0.498815,0.737853,316316.000000,23.000000,94.000000,0.569973,0.635564,0.066539,0.093293,1.055337,0.906704,98383.000000
405000.000000,0.618633,0.792003,320339.000000,23.000000,94.000000,0.797034,0.899070,0.088236,0.098779,0.960779,1.059415,99982.000000
410000.000000,0.619776,0.816436,324421.000000,23.000000,94.000000,0.743239,0.927275,0.089839,0.081271,0.963015,1.070702,100433.000000
415000.000000,0.571249,0.693191,328464.000000,23.000000,98.000000,0.610933,0.713190,0.063411,0.076621,0.975689,0.968922,102273.000000
420000.000000,0.660293,0.764365,332484.000000,23.000000,101.000000,0.777273,0.979722,0.078690,0.096812,1.102926,0.919366,103187.000000
425000.000000,0.617409,0.734034,336499.000000,23.000000,106.000000,0.649266,0.829584,0.096998,0.092285,0.993881,1.046347,104160.000000
430000.000000,0.793377,0.754542,340577.000000,23.000000,107.000000,0.628170,0.900213,0.101003,0.082728,1.010548,1.130154,106630.000000
435000.000000,0.638525,0.743200,344626.000000,23.000000,107.000000,0.721990,1.043685,0.097683,0.105061,1.012299,1.012180,106909.000000
440000.000000,0.733989,0.847040,348753.000000,23.000000,110.000000,0.693558,0.930669,0.096706,0.108952,1.032814,1.050925,108650.000000
445000.000000,0.792696,0.867513,352864.000000,23.000000,111.000000,0.734595,0.846067,0.078095,0.101450,1.025303,1.107125,110222.000000
450000.000000,0.766252,0.976738,356844.000000,23.000000,111.000000,0.642476,0.721819,0.069582,0.101961,1.091860,1.096312,111507.000000
455000.000000,0.699959,0.765833,360920.000000,23.000000,112.000000,0.755344,0.890111,0.092151,0.102091,1.272572,1.089964,112883.000000
460000.000000,0.731409,0.801190,365068.000000,23.000000,113.000000,0.651923,0.895489,0.080530,0.106735,1.072217,1.000379,113628.000000
465000.000000,0.735631,0.879822,369118.000000,23.000000,113.000000,0.716663,1.218449,0.099483,0.122649,1.406570,0.945654,115469.000000
470000.000000,0.640772,0.738567,373158.000000,23.000000,115.000000,0.599833,0.837644,0.102111,0.114296,1.266483,1.190685,116674.000000
475000.000000,0.746131,0.855066,377251.000000,23.000000,118.000000,0.727918,0.970532,0.111594,0.106059,1.378343,1.245197,117792.000000
480000.000000,0.964326,0.880020,381288.000000,23.000000,121.000000,0.795682,0.968600,0.100400,0.120700,1.113384,1.187953,119703.000000
485000.000000,0.682140,0.717628,385356.000000,23.000000,123.000000,0.669537,0.970578,0.096124,0.106757,1.088394,1.140296,120926.000000
